Model name;Number of parameters;Size
CNN_20240412_1_config.json;29041;113.44 KB
CNN_20240501_1_config.json;230865;901.32 KB
CNN_20240504_1_config.json;145040;566.56 KB
CNN_20240504_2_config.json;194953;761.54 KB
CNN_20240505_1_config.json;5391;21.06 KB
CNN_20240505_2_config.json;24118;94.21 KB
CNN_20240618_1_config.json;8725;34.08 KB
CNN_20240618_2_config.json;265864;1.01 MB
CNN_20240618_3_config.json;1969;7.70 KB
CNN_20240630_1_config.json;384841;1.47 MB
CNN_20240803_1_config.json;31497; 123.04 KB
fiachra_model_config.json;3441;13.44 KB
