Architecture;CNN_n10000_p20_l10_random_32;CNN_n10000_p20_l10_random_median;CNN_n10000_p20_l10_random_outlier
fiachra_config;0.965;0.974;0.968
CNN_20240412_1_config;0.969;0.968;0.972
CNN_20240501_1_config;0.966;0.97;0.969
CNN_20240504_1_config;0.969;0.972;0.973
CNN_20240504_2_config;0.971;0.972;0.971
CNN_20240505_1_config;0.974;0.979;0.974
CNN_20240505_2_config;0.965;0.968;0.967
CNN_20240618_1_config;0.965;0.967;0.964
CNN_20240618_2_config;0.974;0.975;0.975
CNN_20240618_3_config;0.965;0.972;0.974
CNN_20240630_1_config;0.974;0.976;0.976
CNN_20240803_1_config;0.978;0.979;0.975
